"Test Method,""3Point_Bending.msm"""
"Sample I. D.,""Sample34.mss"""
"Specimen Number,""2"""

"Time (s),""Load (N)"",""Extension (mm)"",""_COM1 (C)"",""FlexureStress (MPa)"",""FlexureStrain (mm/mm)"""
"69.800,-2568.971,-0.612,104.800,-192.673,****"
"70.000,-2582.643,-0.614,104.800,-193.698,****"
"70.200,-2596.906,-0.616,104.800,-194.768,****"
"70.400,-2611.392,-0.618,104.800,-195.854,****"
"70.600,-2625.197,-0.620,104.800,-196.890,****"
"70.800,-2638.988,-0.622,104.800,-197.924,****"
"71.000,-2653.744,-0.624,104.800,-199.031,****"
"71.200,-2667.435,-0.626,104.800,-200.058,****"
"71.240,-2670.087,-0.627,104.800,-200.256,****"
"71.600,-2689.062,-0.632,104.800,-201.680,****"
"71.800,-2634.036,-0.621,104.800,-197.553,****"
"72.000,-2714.920,-0.630,104.800,-203.619,****"
"72.200,-2629.949,-0.626,104.800,-197.246,****"
"72.400,-2691.892,-0.627,104.800,-201.892,****"
"72.600,-2665.868,-0.630,104.800,-199.940,****"
"72.800,-2656.925,-0.622,104.800,-199.269,****"
"73.000,-2695.348,-0.633,104.800,-202.151,****"
"73.200,-2627.595,-0.623,104.800,-197.070,****"
"73.400,-2712.662,-0.630,104.800,-203.450,****"
"73.600,-2642.140,-0.628,104.800,-198.161,****"
"73.800,-2677.696,-0.625,104.800,-200.827,****"
"74.000,-2680.562,-0.632,104.800,-201.042,****"
"74.200,-2645.788,-0.622,104.800,-198.434,****"
"74.400,-2709.574,-0.632,104.800,-203.218,****"
"74.600,-2626.122,-0.625,104.700,-196.959,****"
"74.800,-2699.811,-0.628,104.700,-202.486,****"
"75.000,-2659.039,-0.630,104.700,-199.428,****"
"75.200,-2663.130,-0.623,104.700,-199.735,****"
"75.400,-2690.534,-0.633,104.700,-201.790,****"
"75.600,-2632.683,-0.623,104.700,-197.451,****"
"75.800,-2714.249,-0.630,104.700,-203.569,****"
"76.000,-2636.086,-0.627,104.700,-197.706,****"
"76.200,-2684.378,-0.626,104.700,-201.328,****"
"76.400,-2674.324,-0.632,104.700,-200.574,****"
"76.600,-2650.600,-0.622,104.700,-198.795,****"
"76.800,-2703.649,-0.633,104.700,-202.774,****"
"77.000,-2625.932,-0.625,104.700,-196.945,****"
"77.200,-2705.502,-0.629,104.700,-202.913,****"
"77.400,-2652.401,-0.629,104.700,-198.930,****"
"77.600,-2669.588,-0.624,104.700,-200.219,****"
"77.800,-2683.657,-0.633,104.700,-201.274,****"
"78.000,-2640.980,-0.622,104.700,-198.074,****"
"78.200,-2713.067,-0.631,104.700,-203.480,****"
"78.400,-2628.996,-0.626,104.700,-197.175,****"
"78.600,-2693.996,-0.627,104.700,-202.050,****"
"78.800,-2665.306,-0.631,104.700,-199.898,****"
"79.000,-2657.128,-0.623,104.700,-199.285,****"
"79.200,-2697.973,-0.633,104.700,-202.348,****"
"79.400,-2627.311,-0.624,104.700,-197.048,****"
"79.600,-2711.002,-0.630,104.700,-203.325,****"
"79.800,-2643.072,-0.628,104.700,-198.230,****"
"80.000,-2677.080,-0.625,104.700,-200.781,****"
"80.200,-2681.778,-0.633,104.700,-201.133,****"
"80.400,-2643.111,-0.622,104.700,-198.233,****"
"80.600,-2712.000,-0.632,104.700,-203.400,****"
"80.800,-2627.440,-0.626,104.700,-197.058,****"
"81.000,-2696.055,-0.628,104.700,-202.204,****"
"81.200,-2663.224,-0.630,104.700,-199.742,****"
"81.400,-2658.257,-0.623,104.700,-199.369,****"
"81.600,-2696.544,-0.634,104.700,-202.241,****"
"81.800,-2628.239,-0.624,104.700,-197.118,****"
"82.000,-2712.389,-0.630,104.700,-203.429,****"
"82.200,-2643.141,-0.628,104.700,-198.236,****"
"82.400,-2676.771,-0.625,104.700,-200.758,****"
"82.600,-2682.028,-0.633,104.700,-201.152,****"
"82.800,-2642.266,-0.622,104.700,-198.170,****"
